Date,HomeTeam,AwayTeam,outcome_by_HOME,AVERAGE_ODD_WIN,AVERAGE_ODD_DRAW,AVERAGE_ODD_OPPONENT_WIN,RANKINGHOME,RANKING AWAY,LAST_GAME_RHOMETEAM,LAST_GAME_RAWAYTEAM
3/19/16,Swansea,Aston Villa,W,7.016,3.512,5.324,8,17,0,0
3/19/16,Watford,Stoke,L,7.522,3.087,3.094,20,9,1,1
3/19/16,West Brom,Norwich,L,7.269,3.108,3.358,13,20,-1,1
3/20/16,Man City,Man United,L,7.022,3.425,4.19,2,4,1,-1
3/20/16,Newcastle,Sunderland,D,7.322,3.207,3.477,15,16,1,-1
3/20/16,Southampton,Liverpool,W,7.471,3.168,2.797,7,6,1,1
3/20/16,Tottenham,Bournemouth,W,6.868,3.891,5.938,5,20,-1,1
4/2/16,Arsenal,Watford,W,6.717,4.641,8.434,3,20,1,-1
4/2/16,Aston Villa,Chelsea,L,10.431,4.302,2.098,17,1,1,-1
4/2/16,Bournemouth,Man City,L,8.341,3.511,2.241,20,2,-1,-1
4/2/16,Liverpool,Tottenham,D,7.285,3.237,2.873,6,5,-1,1
4/2/16,Norwich,Newcastle,W,7.159,3.171,3.35,20,15,-1,-1
4/2/16,Stoke,Swansea,D,7.254,3.168,3.418,9,8,1,1
4/2/16,Sunderland,West Brom,D,7.174,3.136,3.674,16,13,-1,1
4/2/16,West Ham,Crystal Palace,D,6.88,3.294,3.859,12,10,0,1
4/3/16,Leicester,Southampton,W,7.41,3.187,3.272,14,7,-1,-1
4/3/16,Man United,Everton,W,7.165,3.246,3.62,4,11,1,1
4/9/16,Aston Villa,Bournemouth,L,8.362,3.369,2.305,17,20,1,1
4/9/16,Crystal Palace,Norwich,W,7.145,3.21,3.6,10,20,0,0
4/9/16,Man City,West Brom,W,6.935,4.603,8.796,2,13,-1,1
4/9/16,Southampton,Newcastle,W,6.974,3.717,5.782,7,15,-1,-1
4/9/16,Swansea,Chelsea,W,8.489,3.442,2.236,8,1,1,-1
4/9/16,Watford,Everton,D,8.276,3.315,2.367,20,11,0,1
4/9/16,West Ham,Arsenal,D,8.582,3.629,2.184,12,3,-1,-1
4/10/16,Liverpool,Stoke,W,6.781,3.656,5.418,6,9,1,1
4/10/16,Sunderland,Leicester,L,8.227,3.392,2.301,16,14,1,-1
4/10/16,Tottenham,Man United,W,7.095,3.316,3.796,5,4,0,-1
4/13/16,Crystal Palace,Everton,D,7.927,3.247,2.565,10,11,1,0
4/16/16,Chelsea,Man City,L,7.972,3.283,2.702,1,2,0,1
4/16/16,Everton,Southampton,D,7.935,3.23,2.773,11,7,-1,0
4/16/16,Man United,Aston Villa,W,7.249,5.601,13.862,4,17,-1,-1
4/16/16,Newcastle,Swansea,W,7.681,3.219,3.153,15,8,-1,1
4/16/16,Norwich,Sunderland,L,7.605,3.163,3.115,20,16,-1,-1
4/16/16,West Brom,Watford,L,7.71,3.055,3.213,13,20,1,1
4/17/16,Arsenal,Crystal Palace,D,7.195,4.816,8.454,3,10,-1,-1
4/17/16,Bournemouth,Liverpool,L,8.622,3.445,2.296,20,6,-1,-1
4/17/16,Leicester,West Ham,D,7.445,3.345,3.858,14,12,-1,1
4/18/16,Stoke,Tottenham,L,9.192,3.753,2.139,9,5,1,-1
4/19/16,Newcastle,Man City,D,10.128,4.44,2.063,15,2,1,1
